ADM_CD,시군구,행정동,시가지,면적,총인구수,0-2세,3-6세,0-6세,영유아비율(%),기관수,어린이집수,유치원수,정원,현원,커버율(%),이용률(%),충원율(%),유형,반경커버율(%),반경신뢰도,반경주의,인접동수_1_5km,시설수_1km,시설수_1_5km,유형_최종,평당가,연식,거래건수
22030650,서구,평리6동,Y,0.72,5406,178,123,301,5.57,4,3,1,165,111,54.8,36.9,67.3,물리적부족,55.0,정상,N,5,14,34,물리적부족,1644.1293528214371,3.0,80.0
22030660,서구,상중이동,Y,6.75,16903,104,155,259,1.53,11,9,2,687,566,265.3,218.5,82.4,양호,72.4,정상,N,7,17,40,물리적부족,968.7053860848667,17.0,95.0
22030680,서구,원대동,Y,0.61,9968,166,171,337,3.38,4,3,1,707,232,209.8,68.8,32.8,질적미스매치,90.3,정상,N,8,21,45,이중취약,2109.781184588064,3.0,112.0
22040510,남구,이천동,Y,1.08,14239,305,372,677,4.75,6,5,1,405,367,59.8,54.2,90.6,물리적부족,59.9,정상,N,8,17,36,물리적부족,1225.8091806425673,20.0,235.0
22040530,남구,봉덕1동,Y,0.53,7709,44,60,104,1.35,2,2,0,87,81,83.7,77.9,93.1,물리적부족,77.4,정상,N,7,15,35,물리적부족,1283.533938089019,18.0,37.0
22040540,남구,봉덕2동,Y,3.26,12804,265,362,627,4.9,5,4,1,394,305,62.8,48.6,77.4,물리적부족,71.9,정상,N,4,16,24,물리적부족,1694.2311791905445,6.0,194.0
22040550,남구,봉덕3동,Y,2.66,14069,95,159,254,1.81,5,2,3,473,431,186.2,169.7,91.1,양호,70.8,정상,N,7,12,25,물리적부족,731.782263568988,35.0,98.0
22040560,남구,대명1동,Y,0.48,9270,45,76,121,1.31,4,3,1,451,84,372.7,69.4,18.6,질적미스매치,136.9,정상,N,7,17,26,질적미스매치,727.2776161724804,46.0,17.0
22040570,남구,대명2동,Y,0.86,15176,327,289,616,4.06,3,2,1,266,254,43.2,41.2,95.5,물리적부족,77.7,정상,N,13,8,43,물리적부족,2128.510872570123,4.0,137.0
22040580,남구,대명3동,Y,0.99,11752,140,114,254,2.16,3,2,1,348,235,137.0,92.5,67.5,양호,107.0,정상,N,11,18,45,양호,811.9046659323664,46.0,25.0
22040590,남구,대명4동,Y,0.73,9057,38,71,109,1.2,4,4,0,324,159,297.2,145.9,49.1,질적미스매치,112.4,정상,N,7,13,27,질적미스매치,527.3835855350134,39.0,4.0
22040600,남구,대명5동,Y,0.89,8812,215,194,409,4.64,3,3,0,212,155,51.8,37.9,73.1,물리적부족,120.9,정상,N,8,10,28,양호,2112.062356248403,2.0,22.0
22040610,남구,대명6동,Y,1.82,10324,130,171,301,2.92,3,3,0,178,105,59.1,34.9,59.0,이중취약,150.1,정상,N,6,11,26,질적미스매치,2020.398401307593,4.0,75.0
22040640,남구,대명9동,Y,3.09,13115,81,115,196,1.49,3,1,2,458,356,233.7,181.6,77.7,양호,126.6,정상,N,6,7,19,양호,829.3527345709985,28.0,15.0
22040650,남구,대명10동,Y,0.53,7846,32,48,80,1.02,1,1,0,98,17,122.5,21.2,17.3,질적미스매치,145.1,정상,N,7,13,28,질적미스매치,829.2104097877343,45.0,46.0
22040660,남구,대명11동,Y,0.9,7171,37,47,84,1.17,2,2,0,123,36,146.4,42.9,29.3,질적미스매치,145.7,정상,N,6,12,28,질적미스매치,1232.3671459988063,5.0,22.0
22050510,북구,고성동,Y,0.53,14564,821,787,1608,11.04,9,9,0,579,548,36.0,34.1,94.6,물리적부족,71.5,정상,N,9,36,54,물리적부족,2233.725436270332,3.0,293.0
22050520,북구,칠성동,Y,1.36,23366,426,545,971,4.16,14,13,1,521,402,53.7,41.4,77.2,물리적부족,75.8,정상,N,5,33,57,물리적부족,1563.8573839285084,14.0,412.0
22050550,북구,침산1동,Y,1.57,3455,17,31,48,1.39,0,0,0,0,0,0.0,0.0,,완전공백,133.5,정상,N,3,3,11,완전공백,560.3050847457628,29.0,13.0
22050560,북구,침산2동,Y,0.78,17872,305,506,811,4.54,7,5,2,754,721,93.0,88.9,95.6,물리적부족,91.5,정상,N,7,26,52,물리적부족,1613.9355416927085,20.0,293.0
22050570,북구,침산3동,Y,1.04,17714,195,354,549,3.1,9,8,1,453,413,82.5,75.2,91.2,물리적부족,73.0,정상,N,8,33,50,물리적부족,1111.2474897382972,27.0,236.0
22050610,북구,산격1동,Y,0.95,7389,15,25,40,0.54,2,1,1,103,48,257.5,120.0,46.6,질적미스매치,96.4,정상,N,5,7,25,이중취약,555.4409072956839,29.0,4.0
22050620,북구,산격2동,Y,2.23,9393,61,92,153,1.63,4,3,1,470,369,307.2,241.2,78.5,양호,158.0,정상,N,4,19,28,광역거점,1049.8408858317316,27.0,90.0
22050630,북구,산격3동,Y,1.19,8423,36,34,70,0.83,4,3,1,309,157,441.4,224.3,50.8,질적미스매치,172.0,정상,N,8,14,37,질적미스매치,,,
22050640,북구,산격4동,Y,0.74,6965,19,53,72,1.03,4,3,1,464,331,644.4,459.7,71.3,양호,151.7,정상,N,5,13,30,광역거점,657.7366698068693,27.0,8.0
22050650,북구,복현1동,Y,0.46,7153,27,26,53,0.74,1,1,0,49,14,92.5,26.4,28.6,이중취약,149.0,정상,N,6,20,40,질적미스매치,701.9925676871351,24.0,9.0
22050660,북구,복현2동,Y,1.79,28765,477,563,1040,3.62,15,11,4,1126,875,108.3,84.1,77.7,양호,140.5,정상,N,5,20,35,광역거점,1399.8538049947465,13.0,402.0
22050700,북구,검단동,Y,3.84,5422,23,44,67,1.24,1,1,0,62,0,92.5,0.0,0.0,이중취약,104.9,정상,N,0,1,7,질적미스매치,656.3239289446186,34.0,60.0
22050710,북구,무태조야동,Y,22.91,32558,381,690,1071,3.29,20,15,5,1493,795,139.4,74.2,53.2,질적미스매치,89.7,정상,Y,0,4,11,이중취약,890.1972860051653,23.0,328.0
22050740,북구,태전2동,Y,2.02,21662,193,338,531,2.45,7,5,2,678,341,127.7,64.2,50.3,질적미스매치,187.6,정상,N,1,12,20,질적미스매치,772.8991315965263,31.0,205.0
22050750,북구,관문동,Y,14.7,32010,538,926,1464,4.57,17,12,5,1537,911,105.0,62.2,59.3,질적미스매치,63.9,정상,Y,0,2,9,이중취약,1081.625267094017,10.0,372.0
22050760,북구,읍내동,Y,5.91,24632,264,427,691,2.81,12,9,3,1261,607,182.5,87.8,48.1,질적미스매치,,낮음,N,0,0,1,산출불가,789.9163679808842,29.0,285.0
22050770,북구,관음동,Y,2.99,13674,75,142,217,1.59,5,3,2,424,124,195.4,57.1,29.2,질적미스매치,285.4,정상,N,1,10,26,질적미스매치,701.6200919702865,26.0,101.0
22050780,북구,태전1동,Y,2.43,21133,181,238,419,1.98,9,6,3,935,601,223.2,143.4,64.3,질적미스매치,215.3,정상,N,1,12,21,질적미스매치,681.3352177470179,31.0,236.0
22050790,북구,구암동,Y,4.16,30294,208,411,619,2.04,14,11,3,1020,398,164.8,64.3,39.0,질적미스매치,184.9,정상,N,1,29,38,질적미스매치,831.2713739690204,25.0,414.0
22050810,북구,노원동,Y,3.03,10970,160,160,320,2.92,3,2,1,272,253,85.0,79.1,93.0,물리적부족,80.3,정상,N,6,14,31,물리적부족,1448.822940145254,9.0,146.0
22050820,북구,동천동,Y,1.12,24674,230,452,682,2.76,16,12,4,1167,711,171.1,104.3,60.9,질적미스매치,297.4,정상,N,2,31,48,질적미스매치,1032.7343916776442,24.0,396.0
22050830,북구,국우동,Y,17.15,29173,400,639,1039,3.56,20,13,7,1690,871,162.7,83.8,51.5,질적미스매치,147.4,정상,Y,0,18,24,질적미스매치,1167.0234160152413,19.0,363.0
22050840,북구,대현동,Y,0.86,15654,112,152,264,1.69,8,6,2,663,471,251.1,178.4,71.0,양호,95.3,정상,N,8,22,60,물리적부족,1435.6398378691372,16.0,189.0
22060510,수성구,범어1동,Y,1.16,22697,437,876,1313,5.78,7,4,3,617,597,47.0,45.5,96.8,물리적부족,56.5,정상,N,7,12,40,물리적부족,4322.579809164802,5.0,533.0
22060520,수성구,범어2동,Y,1.03,15179,188,405,593,3.91,9,6,3,747,540,126.0,91.1,72.3,양호,103.0,정상,N,7,28,50,양호,4265.177496966174,17.0,164.0
22060530,수성구,범어3동,Y,0.58,17060,371,634,1005,5.89,8,7,1,367,295,36.5,29.4,80.4,물리적부족,74.2,정상,N,8,24,61,물리적부족,2788.223775398862,11.0,443.0
22060540,수성구,범어4동,Y,1.1,18451,83,394,477,2.59,3,3,0,398,279,83.4,58.5,70.1,물리적부족,114.6,정상,N,4,17,40,양호,4201.655117873013,17.0,343.0
22060550,수성구,만촌1동,Y,2.79,20218,231,458,689,3.41,13,10,3,675,493,98.0,71.6,73.0,물리적부족,101.5,정상,N,3,30,41,양호,1555.0065936653714,23.0,218.0
22060560,수성구,만촌2동,Y,1.78,13123,127,281,408,3.11,8,3,5,874,798,214.2,195.6,91.3,양호,119.9,정상,N,5,24,44,양호,3544.7847107579223,2.0,21.0
22060570,수성구,만촌3동,Y,1.79,20600,175,453,628,3.05,7,5,2,574,540,91.4,86.0,94.1,물리적부족,82.6,정상,N,2,9,17,물리적부족,3384.0851702723,19.0,331.0
22060580,수성구,수성1가동,Y,0.6,16976,168,303,471,2.77,5,4,1,452,255,96.0,54.1,56.4,이중취약,68.9,정상,N,9,17,48,이중취약,1750.4671489557986,21.0,239.0
22060590,수성구,수성2·3가동,Y,0.65,10171,78,268,346,3.4,2,2,0,69,68,19.9,19.7,98.6,물리적부족,64.1,정상,N,6,20,45,물리적부족,2647.22061863234,17.0,74.0
22060600,수성구,수성4가동,Y,0.63,12840,112,161,273,2.13,7,5,2,646,435,236.6,159.3,67.3,양호,69.0,정상,N,9,26,54,물리적부족,1614.7639973002897,30.0,194.0
22060610,수성구,황금1동,Y,2.6,20862,204,577,781,3.74,9,7,2,692,472,88.6,60.4,68.2,물리적부족,96.9,정상,N,1,10,19,물리적부족,2167.842690910873,20.0,334.0
22060620,수성구,황금2동,Y,1.18,11789,211,241,452,3.83,3,2,1,231,228,51.1,50.4,98.7,물리적부족,70.4,정상,N,7,14,38,물리적부족,3580.92969478588,4.0,102.0
22060630,수성구,중동,Y,0.9,14426,344,452,796,5.52,7,6,1,477,411,59.9,51.6,86.2,물리적부족,73.2,정상,N,8,20,35,물리적부족,2382.65515268637,5.0,181.0
22060640,수성구,상동,Y,1.33,13962,101,181,282,2.02,3,3,0,189,115,67.0,40.8,60.8,이중취약,83.5,정상,N,5,15,30,이중취약,2001.729096933712,17.0,75.0
